C_stable_similarity,D_stable_similarity,E_stable__similarity,average_stable_similarity(C、D、E三个溶剂的平均值),C_mix_similarity,D_mix_similarity,E_mix_similarity,C_MinAbsPartialCharge,C_MinEStateIndex,D_FpDensityMorgan1,D_Kappa3,D_MaxAbsPartialCharge,D_MinAbsPartialCharge,D_MinPartialCharge,D_MolLogP,D_qed,E_BalabanJ,E_MinAbsEStateIndex,E_MinPartialCharge,E_qed
0.31287825,0.33475372,0.28543487,0.31102228,1.52151552,1.43194772,1.07506076,0.039774526,1.321759259,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,1.0,1.0,-0.399630244,0.385284404
0.301399,0.37061197,0.31287825,0.328296407,0.6736336,0.86131363,1.52151552,0.06813694,0.139722222,1.0,1.92,0.393990542,0.06622664,-0.393990542,-1.029,0.407527891,3.02146531,1.321759259,-0.062249086,0.45880628
0.37061197,0.17376229,0.33475372,0.29304266,0.86131363,0.72049395,1.43194772,0.06622664,-0.125,1.6,3.96,0.330473681,0.007737643,-0.330473681,0.7452,0.512414872,2.478438739,0.291666667,-0.345748915,0.425686211
0.33475372,0.18487532,0.2553321,0.25832038,1.43194772,0.94695218,1.24702681,0.221873564,0.291666667,0.625,6.0,0.065382383,0.053316205,-0.065382383,3.3668,0.480610605,2.803039488,0.833333333,-0.481433475,0.429882883
0.37623513,0.38635278,0.17376229,0.312116733,1.26580363,1.65491533,0.72049395,0.126267944,0.166666667,0.833333333,4.0,0.065382385,0.053578702,-0.065382385,2.5866,0.462954281,2.190609687,0.84375,-0.330473681,0.512414872
0.484608203,0.28543487,0.28364202,0.351228364,1.192729653,1.07506076,1.46313156,0.218425131,0.092592593,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,2.83125711,0.210648148,-0.46617189,0.437850878
0.38635278,0.37118155,0.370144367,0.375892899,1.65491533,1.69758505,1.210980037,0.053578702,1.355,1.5,1128.96,0.393706902,0.048347612,-0.393706902,0.3871,0.428404794,2.367351851,0.046296296,-0.465656557,0.396777661
0.18914637,0.370144367,0.33377582,0.297688852,1.080198396,1.210980037,1.0796178,0.040220582,0.25,1.666666667,0.505725462,0.465656557,0.305409841,-0.465656557,0.3234,0.396777661,2.539538861,0.138888889,-0.393700042,0.435834997
0.28543487,0.3221654,0.38635278,0.331317683,1.07506076,1.384727476,1.65491533,0.031940684,1.0,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,2.339092315,1.355,-0.065382385,0.462954281
0.3221654,0.2553321,0.18487532,0.254124273,1.384727476,1.24702681,0.94695218,0.126267944,0.166666667,2.0,1.156009256,0.481433475,0.299684553,-0.481433475,0.0909,0.429882883,2.530060457,1.364795918,-0.065382383,0.480610605
0.17376229,0.18914637,0.3221654,0.22835802,0.72049395,1.080198396,1.384727476,0.007737643,0.84375,2.0,1.96,0.396663715,0.040220582,-0.396663715,-0.0014,0.406807966,2.803039488,0.166666667,-0.300343903,0.398236962
0.18487532,0.37623513,0.37118155,0.310764,0.94695218,1.26580363,1.69758505,0.053316205,1.364795918,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,2.323790008,0.166666667,-0.393706902,0.428404794
0.370144367,0.484608203,0.4256237,0.42679209,1.210980037,1.192729653,1.54721435,0.305409841,-0.046296296,1.5,1.758184438,0.349064265,0.218425131,-0.349064265,0.0945,0.409906883,3.134861511,0.605709877,-0.082713195,0.528586339
0.33377582,0.19431809,0.37061197,0.299568627,1.0796178,0.547261949,0.86131363,0.074238644,-0.560185185,0.857142857,2.63114094,0.304159943,0.004743854,-0.304159943,1.3481,0.51837487,1.974744871,0.125,-0.393990542,0.407527891
0.37118155,0.31287825,0.484608203,0.389556001,1.69758505,1.52151552,1.192729653,0.048347612,-0.166666667,1.0,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,3.257586161,0.092592593,-0.349064265,0.409906883
0.31287825,0.37061197,0.0,0.227830073,1.52151552,0.86131363,0.0,0.039774526,1.321759259,1.0,1.92,0.393990542,0.06622664,-0.393990542,-1.029,0.407527891,0.0,0.0,0.0,0.0
0.33475372,0.3221654,0.0,0.21897304,1.43194772,1.384727476,0.0,0.221873564,0.291666667,1.5,6.883957759,0.300343903,0.126267944,-0.300343903,0.5953,0.398236962,0.0,0.0,0.0,0.0
0.28543487,0.19431809,0.0,0.159917653,1.07506076,0.547261949,0.0,0.031940684,1.0,0.857142857,2.63114094,0.304159943,0.004743854,-0.304159943,1.3481,0.51837487,0.0,0.0,0.0,0.0
0.2553321,0.484608203,0.0,0.246646768,1.24702681,1.192729653,0.0,0.299684553,-0.833333333,1.5,1.758184438,0.349064265,0.218425131,-0.349064265,0.0945,0.409906883,0.0,0.0,0.0,0.0
0.301399,0.4256237,0.0,0.2423409,0.6736336,1.54721435,0.0,0.06813694,0.139722222,0.875,1.145679012,0.082713195,0.059180344,-0.082713195,2.9934,0.528586339,0.0,0.0,0.0,0.0
0.17376229,0.18914637,0.0,0.120969553,0.72049395,1.080198396,0.0,0.007737643,0.84375,2.0,1.96,0.396663715,0.040220582,-0.396663715,-0.0014,0.406807966,0.0,0.0,0.0,0.0
0.370144367,0.37118155,0.0,0.247108639,1.210980037,1.69758505,0.0,0.305409841,-0.046296296,1.5,1128.96,0.393706902,0.048347612,-0.393706902,0.3871,0.428404794,0.0,0.0,0.0,0.0
0.37623513,0.18487532,0.0,0.187036817,1.26580363,0.94695218,0.0,0.126267944,0.166666667,0.625,6.0,0.065382383,0.053316205,-0.065382383,3.3668,0.480610605,0.0,0.0,0.0,0.0
0.38635278,0.33377582,0.0,0.240042867,1.65491533,1.0796178,0.0,0.053578702,1.355,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,0.0,0.0,0.0,0.0
0.37118155,0.370144367,0.0,0.247108639,1.69758505,1.210980037,0.0,0.048347612,-0.166666667,1.666666667,0.505725462,0.465656557,0.305409841,-0.465656557,0.3234,0.396777661,0.0,0.0,0.0,0.0
0.18914637,0.17376229,0.0,0.120969553,1.080198396,0.72049395,0.0,0.040220582,0.25,1.6,3.96,0.330473681,0.007737643,-0.330473681,0.7452,0.512414872,0.0,0.0,0.0,0.0
0.4256237,0.301399,0.0,0.2423409,1.54721435,0.6736336,0.0,0.059180344,0.605709877,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,0.0,0.0,0.0,0.0
0.484608203,0.2553321,0.0,0.246646768,1.192729653,1.24702681,0.0,0.218425131,0.092592593,2.0,1.156009256,0.481433475,0.299684553,-0.481433475,0.0909,0.429882883,0.0,0.0,0.0,0.0
0.19431809,0.28543487,0.0,0.159917653,0.547261949,1.07506076,0.0,0.004743854,1.1875,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,0.0,0.0,0.0,0.0
0.3221654,0.33475372,0.0,0.21897304,1.384727476,1.43194772,0.0,0.126267944,0.166666667,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,0.0,0.0,0.0,0.0
0.37061197,0.31287825,0.0,0.227830073,0.86131363,1.52151552,0.0,0.06622664,-0.125,1.0,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,0.0,0.0,0.0,0.0
0.33475372,0.0,0.0,0.111584573,1.43194772,0.0,0.0,0.221873564,0.291666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28543487,0.0,0.0,0.095144957,1.07506076,0.0,0.0,0.031940684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2553321,0.0,0.0,0.0851107,1.24702681,0.0,0.0,0.299684553,-0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301399,0.0,0.0,0.100466333,0.6736336,0.0,0.0,0.06813694,0.139722222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28364202,0.0,0.0,0.09454734,1.46313156,0.0,0.0,0.302112778,-0.210648148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.370144367,0.0,0.0,0.123381456,1.210980037,0.0,0.0,0.305409841,-0.046296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37623513,0.0,0.0,0.12541171,1.26580363,0.0,0.0,0.126267944,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33377582,0.0,0.0,0.111258607,1.0796178,0.0,0.0,0.074238644,-0.560185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38635278,0.0,0.0,0.12878426,1.65491533,0.0,0.0,0.053578702,1.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18487532,0.0,0.0,0.061625107,0.94695218,0.0,0.0,0.053316205,1.364795918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37118155,0.0,0.0,0.123727183,1.69758505,0.0,0.0,0.048347612,-0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18914637,0.0,0.0,0.06304879,1.080198396,0.0,0.0,0.040220582,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4256237,0.0,0.0,0.141874567,1.54721435,0.0,0.0,0.059180344,0.605709877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.484608203,0.0,0.0,0.161536068,1.192729653,0.0,0.0,0.218425131,0.092592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19431809,0.0,0.0,0.064772697,0.547261949,0.0,0.0,0.004743854,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3221654,0.0,0.0,0.107388467,1.384727476,0.0,0.0,0.126267944,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37061197,0.0,0.0,0.123537323,0.86131363,0.0,0.0,0.06622664,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33475372,0.370144367,0.3221654,0.342354496,1.43194772,1.210980037,1.384727476,0.221873564,0.291666667,1.666666667,0.505725462,0.465656557,0.305409841,-0.465656557,0.3234,0.396777661,2.803039488,0.166666667,-0.300343903,0.398236962
0.28543487,0.28364202,0.19431809,0.254464993,1.07506076,1.46313156,0.547261949,0.031940684,1.0,1.833333333,3.47,0.46617189,0.302112778,-0.46617189,0.5694,0.437850878,2.992302883,1.1875,-0.304159943,0.51837487
0.2553321,0.17376229,0.484608203,0.304567531,1.24702681,0.72049395,1.192729653,0.299684553,-0.833333333,1.6,3.96,0.330473681,0.007737643,-0.330473681,0.7452,0.512414872,3.257586161,0.092592593,-0.349064265,0.409906883
0.301399,0.2553321,0.4256237,0.3274516,0.6736336,1.24702681,1.54721435,0.06813694,0.139722222,2.0,1.156009256,0.481433475,0.299684553,-0.481433475,0.0909,0.429882883,3.134861511,0.605709877,-0.082713195,0.528586339
0.28364202,0.28543487,0.37118155,0.31341948,1.46313156,1.07506076,1.69758505,0.302112778,-0.210648148,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,2.323790008,0.166666667,-0.393706902,0.428404794
0.370144367,0.33475372,0.18487532,0.296591136,1.210980037,1.43194772,0.94695218,0.305409841,-0.046296296,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.530060457,1.364795918,-0.065382383,0.480610605
0.37623513,0.31287825,0.38635278,0.35848872,1.26580363,1.52151552,1.65491533,0.126267944,0.166666667,1.0,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,2.339092315,1.355,-0.065382385,0.462954281
0.33377582,0.38635278,0.18487532,0.301667973,1.0796178,1.65491533,0.94695218,0.074238644,-0.560185185,0.833333333,4.0,0.065382385,0.053578702,-0.065382385,2.5866,0.462954281,2.530060457,1.364795918,-0.065382383,0.480610605
0.31287825,0.33475372,0.3221654,0.32326579,1.52151552,1.43194772,1.384727476,0.039774526,1.321759259,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.803039488,0.166666667,-0.300343903,0.398236962
0.31287825,0.301399,0.33475372,0.316343657,1.52151552,0.6736336,1.43194772,0.039774526,1.321759259,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,2.478438739,0.291666667,-0.345748915,0.425686211
0.31287825,0.301399,0.28543487,0.29990404,1.52151552,0.6736336,1.07506076,0.039774526,1.321759259,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,1.0,1.0,-0.399630244,0.385284404
0.31287825,0.301399,0.370144367,0.328140539,1.52151552,0.6736336,1.210980037,0.039774526,1.321759259,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,2.367351851,0.046296296,-0.465656557,0.396777661
0.31287825,0.37118155,0.370144367,0.351401389,1.52151552,1.69758505,1.210980037,0.039774526,1.321759259,1.5,1128.96,0.393706902,0.048347612,-0.393706902,0.3871,0.428404794,2.367351851,0.046296296,-0.465656557,0.396777661
0.31287825,0.33475372,0.370144367,0.339258779,1.52151552,1.43194772,1.210980037,0.039774526,1.321759259,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,2.367351851,0.046296296,-0.465656557,0.396777661
0.28364202,0.301399,0.19431809,0.25978637,1.46313156,0.6736336,0.547261949,0.302112778,-0.210648148,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,2.992302883,1.1875,-0.304159943,0.51837487
0.4256237,0.33377582,0.18914637,0.316181963,1.54721435,1.0796178,1.080198396,0.059180344,0.605709877,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,1.632993162,0.25,-0.396663715,0.406807966
